Object,X,Y,Z,Time
Sun,    6.3487E+08,    3.2459E+08,    0.0000E+00,           85320000.
Jupiter,    1.1350E+11,    7.7765E+11,    0.0000E+00,           85320000.
Sun,    6.3560E+08,    3.2523E+08,    0.0000E+00,           85380000.
Jupiter,    1.1273E+11,    7.7777E+11,    0.0000E+00,           85380000.
Sun,    6.3633E+08,    3.2586E+08,    0.0000E+00,           85440000.
Jupiter,    1.1196E+11,    7.7788E+11,    0.0000E+00,           85440000.
Sun,    6.3707E+08,    3.2650E+08,    0.0000E+00,           85500000.
Jupiter,    1.1119E+11,    7.7800E+11,    0.0000E+00,           85500000.
Sun,    6.3780E+08,    3.2714E+08,    0.0000E+00,           85560000.
Jupiter,    1.1042E+11,    7.7812E+11,    0.0000E+00,           85560000.
Sun,    6.3854E+08,    3.2778E+08,    0.0000E+00,           85620000.
Jupiter,    1.0965E+11,    7.7824E+11,    0.0000E+00,           85620000.
Sun,    6.3927E+08,    3.2841E+08,    0.0000E+00,           85680000.
Jupiter,    1.0888E+11,    7.7835E+11,    0.0000E+00,           85680000.
Sun,    6.4001E+08,    3.2905E+08,    0.0000E+00,           85740000.
Jupiter,    1.0811E+11,    7.7847E+11,    0.0000E+00,           85740000.
Sun,    6.4074E+08,    3.2970E+08,    0.0000E+00,           85800000.
Jupiter,    1.0734E+11,    7.7858E+11,    0.0000E+00,           85800000.
Sun,    6.4148E+08,    3.3034E+08,    0.0000E+00,           85860000.
Jupiter,    1.0657E+11,    7.7870E+11,    0.0000E+00,           85860000.
Sun,    6.4221E+08,    3.3098E+08,    0.0000E+00,           85920000.
Jupiter,    1.0580E+11,    7.7881E+11,    0.0000E+00,           85920000.
Sun,    6.4295E+08,    3.3162E+08,    0.0000E+00,           85980000.
Jupiter,    1.0503E+11,    7.7892E+11,    0.0000E+00,           85980000.
Sun,    6.4369E+08,    3.3227E+08,    0.0000E+00,           86040000.
Jupiter,    1.0426E+11,    7.7904E+11,    0.0000E+00,           86040000.
Sun,    6.4442E+08,    3.3291E+08,    0.0000E+00,           86100000.
Jupiter,    1.0349E+11,    7.7915E+11,    0.0000E+00,           86100000.
Sun,    6.4516E+08,    3.3356E+08,    0.0000E+00,           86160000.
Jupiter,    1.0272E+11,    7.7926E+11,    0.0000E+00,           86160000.
Sun,    6.4589E+08,    3.3420E+08,    0.0000E+00,           86220000.
Jupiter,    1.0195E+11,    7.7937E+11,    0.0000E+00,           86220000.
Sun,    6.4663E+08,    3.3485E+08,    0.0000E+00,           86280000.
Jupiter,    1.0118E+11,    7.7948E+11,    0.0000E+00,           86280000.
Sun,    6.4736E+08,    3.3549E+08,    0.0000E+00,           86340000.
Jupiter,    1.0041E+11,    7.7958E+11,    0.0000E+00,           86340000.
Sun,    6.4810E+08,    3.3614E+08,    0.0000E+00,           86400000.
Jupiter,    9.9638E+10,    7.7969E+11,    0.0000E+00,           86400000.
Sun,    6.4884E+08,    3.3679E+08,    0.0000E+00,           86460000.
Jupiter,    9.8867E+10,    7.7980E+11,    0.0000E+00,           86460000.
Sun,    6.4957E+08,    3.3744E+08,    0.0000E+00,           86520000.
Jupiter,    9.8096E+10,    7.7990E+11,    0.0000E+00,           86520000.
Sun,    6.5031E+08,    3.3809E+08,    0.0000E+00,           86580000.
Jupiter,    9.7324E+10,    7.8001E+11,    0.0000E+00,           86580000.
Sun,    6.5105E+08,    3.3874E+08,    0.0000E+00,           86640000.
Jupiter,    9.6553E+10,    7.8011E+11,    0.0000E+00,           86640000.
Sun,    6.5178E+08,    3.3939E+08,    0.0000E+00,           86700000.
Jupiter,    9.5781E+10,    7.8021E+11,    0.0000E+00,           86700000.
Sun,    6.5252E+08,    3.4005E+08,    0.0000E+00,           86760000.
Jupiter,    9.5010E+10,    7.8032E+11,    0.0000E+00,           86760000.
Sun,    6.5325E+08,    3.4070E+08,    0.0000E+00,           86820000.
Jupiter,    9.4238E+10,    7.8042E+11,    0.0000E+00,           86820000.
Sun,    6.5399E+08,    3.4135E+08,    0.0000E+00,           86880000.
Jupiter,    9.3466E+10,    7.8052E+11,    0.0000E+00,           86880000.
Sun,    6.5473E+08,    3.4201E+08,    0.0000E+00,           86940000.
Jupiter,    9.2694E+10,    7.8062E+11,    0.0000E+00,           86940000.
Sun,    6.5547E+08,    3.4266E+08,    0.0000E+00,           87000000.
Jupiter,    9.1922E+10,    7.8072E+11,    0.0000E+00,           87000000.
Sun,    6.5620E+08,    3.4332E+08,    0.0000E+00,           87060000.
Jupiter,    9.1150E+10,    7.8082E+11,    0.0000E+00,           87060000.
Sun,    6.5694E+08,    3.4398E+08,    0.0000E+00,           87120000.
Jupiter,    9.0378E+10,    7.8092E+11,    0.0000E+00,           87120000.
Sun,    6.5768E+08,    3.4463E+08,    0.0000E+00,           87180000.
Jupiter,    8.9605E+10,    7.8101E+11,    0.0000E+00,           87180000.
Sun,    6.5841E+08,    3.4529E+08,    0.0000E+00,           87240000.
Jupiter,    8.8833E+10,    7.8111E+11,    0.0000E+00,           87240000.
Sun,    6.5915E+08,    3.4595E+08,    0.0000E+00,           87300000.
Jupiter,    8.8060E+10,    7.8121E+11,    0.0000E+00,           87300000.
Sun,    6.5989E+08,    3.4661E+08,    0.0000E+00,           87360000.
Jupiter,    8.7288E+10,    7.8130E+11,    0.0000E+00,           87360000.
Sun,    6.6063E+08,    3.4727E+08,    0.0000E+00,           87420000.
Jupiter,    8.6515E+10,    7.8139E+11,    0.0000E+00,           87420000.
Sun,    6.6136E+08,    3.4793E+08,    0.0000E+00,           87480000.
Jupiter,    8.5743E+10,    7.8149E+11,    0.0000E+00,           87480000.
Sun,    6.6210E+08,    3.4859E+08,    0.0000E+00,           87540000.
Jupiter,    8.4970E+10,    7.8158E+11,    0.0000E+00,           87540000.
Sun,    6.6284E+08,    3.4926E+08,    0.0000E+00,           87600000.
Jupiter,    8.4197E+10,    7.8167E+11,    0.0000E+00,           87600000.
Sun,    6.6358E+08,    3.4992E+08,    0.0000E+00,           87660000.
Jupiter,    8.3424E+10,    7.8176E+11,    0.0000E+00,           87660000.
Sun,    6.6432E+08,    3.5058E+08,    0.0000E+00,           87720000.
Jupiter,    8.2651E+10,    7.8185E+11,    0.0000E+00,           87720000.
Sun,    6.6505E+08,    3.5125E+08,    0.0000E+00,           87780000.
Jupiter,    8.1878E+10,    7.8194E+11,    0.0000E+00,           87780000.
Sun,    6.6579E+08,    3.5191E+08,    0.0000E+00,           87840000.
Jupiter,    8.1104E+10,    7.8203E+11,    0.0000E+00,           87840000.
Sun,    6.6653E+08,    3.5258E+08,    0.0000E+00,           87900000.
Jupiter,    8.0331E+10,    7.8212E+11,    0.0000E+00,           87900000.
Sun,    6.6727E+08,    3.5325E+08,    0.0000E+00,           87960000.
Jupiter,    7.9558E+10,    7.8221E+11,    0.0000E+00,           87960000.
Sun,    6.6801E+08,    3.5392E+08,    0.0000E+00,           88020000.
Jupiter,    7.8784E+10,    7.8229E+11,    0.0000E+00,           88020000.
Sun,    6.6874E+08,    3.5458E+08,    0.0000E+00,           88080000.
Jupiter,    7.8011E+10,    7.8238E+11,    0.0000E+00,           88080000.
Sun,    6.6948E+08,    3.5525E+08,    0.0000E+00,           88140000.
Jupiter,    7.7237E+10,    7.8246E+11,    0.0000E+00,           88140000.
Sun,    6.7022E+08,    3.5592E+08,    0.0000E+00,           88200000.
Jupiter,    7.6464E+10,    7.8255E+11,    0.0000E+00,           88200000.
Sun,    6.7096E+08,    3.5659E+08,    0.0000E+00,           88260000.
Jupiter,    7.5690E+10,    7.8263E+11,    0.0000E+00,           88260000.
Sun,    6.7170E+08,    3.5727E+08,    0.0000E+00,           88320000.
Jupiter,    7.4916E+10,    7.8271E+11,    0.0000E+00,           88320000.
Sun,    6.7244E+08,    3.5794E+08,    0.0000E+00,           88380000.
Jupiter,    7.4142E+10,    7.8280E+11,    0.0000E+00,           88380000.
Sun,    6.7318E+08,    3.5861E+08,    0.0000E+00,           88440000.
Jupiter,    7.3368E+10,    7.8288E+11,    0.0000E+00,           88440000.
Sun,    6.7391E+08,    3.5928E+08,    0.0000E+00,           88500000.
Jupiter,    7.2594E+10,    7.8296E+11,    0.0000E+00,           88500000.
Sun,    6.7465E+08,    3.5996E+08,    0.0000E+00,           88560000.
Jupiter,    7.1820E+10,    7.8304E+11,    0.0000E+00,           88560000.
Sun,    6.7539E+08,    3.6063E+08,    0.0000E+00,           88620000.
Jupiter,    7.1046E+10,    7.8312E+11,    0.0000E+00,           88620000.
Sun,    6.7613E+08,    3.6131E+08,    0.0000E+00,           88680000.
Jupiter,    7.0272E+10,    7.8319E+11,    0.0000E+00,           88680000.
Sun,    6.7687E+08,    3.6199E+08,    0.0000E+00,           88740000.
Jupiter,    6.9497E+10,    7.8327E+11,    0.0000E+00,           88740000.
Sun,    6.7761E+08,    3.6266E+08,    0.0000E+00,           88800000.
Jupiter,    6.8723E+10,    7.8335E+11,    0.0000E+00,           88800000.
Sun,    6.7835E+08,    3.6334E+08,    0.0000E+00,           88860000.
Jupiter,    6.7948E+10,    7.8342E+11,    0.0000E+00,           88860000.
Sun,    6.7909E+08,    3.6402E+08,    0.0000E+00,           88920000.
Jupiter,    6.7174E+10,    7.8350E+11,    0.0000E+00,           88920000.
Sun,    6.7983E+08,    3.6470E+08,    0.0000E+00,           88980000.
Jupiter,    6.6399E+10,    7.8357E+11,    0.0000E+00,           88980000.
Sun,    6.8057E+08,    3.6538E+08,    0.0000E+00,           89040000.
Jupiter,    6.5625E+10,    7.8365E+11,    0.0000E+00,           89040000.
Sun,    6.8131E+08,    3.6606E+08,    0.0000E+00,           89100000.
Jupiter,    6.4850E+10,    7.8372E+11,    0.0000E+00,           89100000.
Sun,    6.8205E+08,    3.6674E+08,    0.0000E+00,           89160000.
Jupiter,    6.4075E+10,    7.8379E+11,    0.0000E+00,           89160000.
Sun,    6.8279E+08,    3.6742E+08,    0.0000E+00,           89220000.
Jupiter,    6.3300E+10,    7.8386E+11,    0.0000E+00,           89220000.
Sun,    6.8353E+08,    3.6811E+08,    0.0000E+00,           89280000.
Jupiter,    6.2525E+10,    7.8393E+11,    0.0000E+00,           89280000.
Sun,    6.8427E+08,    3.6879E+08,    0.0000E+00,           89340000.
Jupiter,    6.1750E+10,    7.8400E+11,    0.0000E+00,           89340000.
Sun,    6.8501E+08,    3.6948E+08,    0.0000E+00,           89400000.
Jupiter,    6.0975E+10,    7.8407E+11,    0.0000E+00,           89400000.
Sun,    6.8575E+08,    3.7016E+08,    0.0000E+00,           89460000.
Jupiter,    6.0200E+10,    7.8414E+11,    0.0000E+00,           89460000.
Sun,    6.8649E+08,    3.7085E+08,    0.0000E+00,           89520000.
Jupiter,    5.9425E+10,    7.8421E+11,    0.0000E+00,           89520000.
Sun,    6.8722E+08,    3.7153E+08,    0.0000E+00,           89580000.
Jupiter,    5.8650E+10,    7.8427E+11,    0.0000E+00,           89580000.
Sun,    6.8796E+08,    3.7222E+08,    0.0000E+00,           89640000.
Jupiter,    5.7875E+10,    7.8434E+11,    0.0000E+00,           89640000.
Sun,    6.8871E+08,    3.7291E+08,    0.0000E+00,           89700000.
Jupiter,    5.7099E+10,    7.8440E+11,    0.0000E+00,           89700000.
Sun,    6.8945E+08,    3.7360E+08,    0.0000E+00,           89760000.
Jupiter,    5.6324E+10,    7.8447E+11,    0.0000E+00,           89760000.
Sun,    6.9019E+08,    3.7429E+08,    0.0000E+00,           89820000.
Jupiter,    5.5549E+10,    7.8453E+11,    0.0000E+00,           89820000.
Sun,    6.9093E+08,    3.7498E+08,    0.0000E+00,           89880000.
Jupiter,    5.4773E+10,    7.8459E+11,    0.0000E+00,           89880000.
Sun,    6.9167E+08,    3.7567E+08,    0.0000E+00,           89940000.
Jupiter,    5.3998E+10,    7.8465E+11,    0.0000E+00,           89940000.
Sun,    6.9241E+08,    3.7636E+08,    0.0000E+00,           90000000.
Jupiter,    5.3222E+10,    7.8472E+11,    0.0000E+00,           90000000.
Sun,    6.9315E+08,    3.7705E+08,    0.0000E+00,           90060000.
Jupiter,    5.2446E+10,    7.8478E+11,    0.0000E+00,           90060000.
Sun,    6.9389E+08,    3.7775E+08,    0.0000E+00,           90120000.
Jupiter,    5.1671E+10,    7.8484E+11,    0.0000E+00,           90120000.
Sun,    6.9463E+08,    3.7844E+08,    0.0000E+00,           90180000.
Jupiter,    5.0895E+10,    7.8489E+11,    0.0000E+00,           90180000.
Sun,    6.9537E+08,    3.7914E+08,    0.0000E+00,           90240000.
Jupiter,    5.0119E+10,    7.8495E+11,    0.0000E+00,           90240000.
Sun,    6.9611E+08,    3.7983E+08,    0.0000E+00,           90300000.
Jupiter,    4.9343E+10,    7.8501E+11,    0.0000E+00,           90300000.
Sun,    6.9685E+08,    3.8053E+08,    0.0000E+00,           90360000.
Jupiter,    4.8568E+10,    7.8507E+11,    0.0000E+00,           90360000.
Sun,    6.9759E+08,    3.8123E+08,    0.0000E+00,           90420000.
Jupiter,    4.7792E+10,    7.8512E+11,    0.0000E+00,           90420000.
Sun,    6.9833E+08,    3.8192E+08,    0.0000E+00,           90480000.
Jupiter,    4.7016E+10,    7.8518E+11,    0.0000E+00,           90480000.
Sun,    6.9907E+08,    3.8262E+08,    0.0000E+00,           90540000.
Jupiter,    4.6240E+10,    7.8523E+11,    0.0000E+00,           90540000.
Sun,    6.9981E+08,    3.8332E+08,    0.0000E+00,           90600000.
Jupiter,    4.5464E+10,    7.8528E+11,    0.0000E+00,           90600000.
Sun,    7.0055E+08,    3.8402E+08,    0.0000E+00,           90660000.
Jupiter,    4.4687E+10,    7.8534E+11,    0.0000E+00,           90660000.
Sun,    7.0129E+08,    3.8472E+08,    0.0000E+00,           90720000.
Jupiter,    4.3911E+10,    7.8539E+11,    0.0000E+00,           90720000.
Sun,    7.0203E+08,    3.8542E+08,    0.0000E+00,           90780000.
Jupiter,    4.3135E+10,    7.8544E+11,    0.0000E+00,           90780000.
Sun,    7.0278E+08,    3.8613E+08,    0.0000E+00,           90840000.
Jupiter,    4.2359E+10,    7.8549E+11,    0.0000E+00,           90840000.
Sun,    7.0352E+08,    3.8683E+08,    0.0000E+00,           90900000.
Jupiter,    4.1583E+10,    7.8554E+11,    0.0000E+00,           90900000.
Sun,    7.0426E+08,    3.8753E+08,    0.0000E+00,           90960000.
Jupiter,    4.0806E+10,    7.8559E+11,    0.0000E+00,           90960000.
Sun,    7.0500E+08,    3.8824E+08,    0.0000E+00,           91020000.
Jupiter,    4.0030E+10,    7.8564E+11,    0.0000E+00,           91020000.
Sun,    7.0574E+08,    3.8894E+08,    0.0000E+00,           91080000.
Jupiter,    3.9254E+10,    7.8568E+11,    0.0000E+00,           91080000.
Sun,    7.0648E+08,    3.8965E+08,    0.0000E+00,           91140000.
Jupiter,    3.8477E+10,    7.8573E+11,    0.0000E+00,           91140000.
Sun,    7.0722E+08,    3.9035E+08,    0.0000E+00,           91200000.
Jupiter,    3.7701E+10,    7.8578E+11,    0.0000E+00,           91200000.
Sun,    7.0796E+08,    3.9106E+08,    0.0000E+00,           91260000.
Jupiter,    3.6924E+10,    7.8582E+11,    0.0000E+00,           91260000.
Sun,    7.0870E+08,    3.9177E+08,    0.0000E+00,           91320000.
Jupiter,    3.6148E+10,    7.8587E+11,    0.0000E+00,           91320000.
Sun,    7.0945E+08,    3.9248E+08,    0.0000E+00,           91380000.
Jupiter,    3.5371E+10,    7.8591E+11,    0.0000E+00,           91380000.
Sun,    7.1019E+08,    3.9319E+08,    0.0000E+00,           91440000.
Jupiter,    3.4595E+10,    7.8595E+11,    0.0000E+00,           91440000.
Sun,    7.1093E+08,    3.9390E+08,    0.0000E+00,           91500000.
Jupiter,    3.3818E+10,    7.8599E+11,    0.0000E+00,           91500000.
Sun,    7.1167E+08,    3.9461E+08,    0.0000E+00,           91560000.
Jupiter,    3.3041E+10,    7.8604E+11,    0.0000E+00,           91560000.
Sun,    7.1241E+08,    3.9532E+08,    0.0000E+00,           91620000.
Jupiter,    3.2265E+10,    7.8608E+11,    0.0000E+00,           91620000.
Sun,    7.1315E+08,    3.9603E+08,    0.0000E+00,           91680000.
Jupiter,    3.1488E+10,    7.8612E+11,    0.0000E+00,           91680000.
Sun,    7.1389E+08,    3.9675E+08,    0.0000E+00,           91740000.
Jupiter,    3.0711E+10,    7.8615E+11,    0.0000E+00,           91740000.
Sun,    7.1464E+08,    3.9746E+08,    0.0000E+00,           91800000.
Jupiter,    2.9934E+10,    7.8619E+11,    0.0000E+00,           91800000.
Sun,    7.1538E+08,    3.9818E+08,    0.0000E+00,           91860000.
Jupiter,    2.9157E+10,    7.8623E+11,    0.0000E+00,           91860000.
Sun,    7.1612E+08,    3.9889E+08,    0.0000E+00,           91920000.
Jupiter,    2.8381E+10,    7.8627E+11,    0.0000E+00,           91920000.
Sun,    7.1686E+08,    3.9961E+08,    0.0000E+00,           91980000.
Jupiter,    2.7604E+10,    7.8630E+11,    0.0000E+00,           91980000.
Sun,    7.1760E+08,    4.0032E+08,    0.0000E+00,           92040000.
Jupiter,    2.6827E+10,    7.8634E+11,    0.0000E+00,           92040000.
Sun,    7.1834E+08,    4.0104E+08,    0.0000E+00,           92100000.
Jupiter,    2.6050E+10,    7.8637E+11,    0.0000E+00,           92100000.
Sun,    7.1908E+08,    4.0176E+08,    0.0000E+00,           92160000.
Jupiter,    2.5273E+10,    7.8640E+11,    0.0000E+00,           92160000.
Sun,    7.1983E+08,    4.0248E+08,    0.0000E+00,           92220000.
Jupiter,    2.4496E+10,    7.8644E+11,    0.0000E+00,           92220000.
Sun,    7.2057E+08,    4.0320E+08,    0.0000E+00,           92280000.
Jupiter,    2.3719E+10,    7.8647E+11,    0.0000E+00,           92280000.
Sun,    7.2131E+08,    4.0392E+08,    0.0000E+00,           92340000.
Jupiter,    2.2942E+10,    7.8650E+11,    0.0000E+00,           92340000.
Sun,    7.2205E+08,    4.0464E+08,    0.0000E+00,           92400000.
Jupiter,    2.2165E+10,    7.8653E+11,    0.0000E+00,           92400000.
Sun,    7.2279E+08,    4.0536E+08,    0.0000E+00,           92460000.
Jupiter,    2.1388E+10,    7.8656E+11,    0.0000E+00,           92460000.
Sun,    7.2354E+08,    4.0609E+08,    0.0000E+00,           92520000.
Jupiter,    2.0611E+10,    7.8659E+11,    0.0000E+00,           92520000.
Sun,    7.2428E+08,    4.0681E+08,    0.0000E+00,           92580000.
Jupiter,    1.9834E+10,    7.8662E+11,    0.0000E+00,           92580000.
Sun,    7.2502E+08,    4.0753E+08,    0.0000E+00,           92640000.
Jupiter,    1.9056E+10,    7.8664E+11,    0.0000E+00,           92640000.
Sun,    7.2576E+08,    4.0826E+08,    0.0000E+00,           92700000.
Jupiter,    1.8279E+10,    7.8667E+11,    0.0000E+00,           92700000.
Sun,    7.2650E+08,    4.0898E+08,    0.0000E+00,           92760000.
Jupiter,    1.7502E+10,    7.8670E+11,    0.0000E+00,           92760000.
Sun,    7.2724E+08,    4.0971E+08,    0.0000E+00,           92820000.
Jupiter,    1.6725E+10,    7.8672E+11,    0.0000E+00,           92820000.
Sun,    7.2799E+08,    4.1044E+08,    0.0000E+00,           92880000.
Jupiter,    1.5948E+10,    7.8675E+11,    0.0000E+00,           92880000.
Sun,    7.2873E+08,    4.1117E+08,    0.0000E+00,           92940000.
Jupiter,    1.5171E+10,    7.8677E+11,    0.0000E+00,           92940000.
Sun,    7.2947E+08,    4.1189E+08,    0.0000E+00,           93000000.
Jupiter,    1.4393E+10,    7.8679E+11,    0.0000E+00,           93000000.
Sun,    7.3021E+08,    4.1262E+08,    0.0000E+00,           93060000.
Jupiter,    1.3616E+10,    7.8681E+11,    0.0000E+00,           93060000.
Sun,    7.3095E+08,    4.1335E+08,    0.0000E+00,           93120000.
Jupiter,    1.2839E+10,    7.8684E+11,    0.0000E+00,           93120000.
Sun,    7.3170E+08,    4.1408E+08,    0.0000E+00,           93180000.
Jupiter,    1.2062E+10,    7.8686E+11,    0.0000E+00,           93180000.
Sun,    7.3244E+08,    4.1482E+08,    0.0000E+00,           93240000.
Jupiter,    1.1284E+10,    7.8688E+11,    0.0000E+00,           93240000.
Sun,    7.3318E+08,    4.1555E+08,    0.0000E+00,           93300000.
Jupiter,    1.0507E+10,    7.8689E+11,    0.0000E+00,           93300000.
Sun,    7.3392E+08,    4.1628E+08,    0.0000E+00,           93360000.
Jupiter,    9.7298E+09,    7.8691E+11,    0.0000E+00,           93360000.
Sun,    7.3466E+08,    4.1701E+08,    0.0000E+00,           93420000.
Jupiter,    8.9525E+09,    7.8693E+11,    0.0000E+00,           93420000.
Sun,    7.3541E+08,    4.1775E+08,    0.0000E+00,           93480000.
Jupiter,    8.1752E+09,    7.8695E+11,    0.0000E+00,           93480000.
Sun,    7.3615E+08,    4.1848E+08,    0.0000E+00,           93540000.
Jupiter,    7.3979E+09,    7.8696E+11,    0.0000E+00,           93540000.
Sun,    7.3689E+08,    4.1922E+08,    0.0000E+00,           93600000.
Jupiter,    6.6206E+09,    7.8698E+11,    0.0000E+00,           93600000.
Sun,    7.3763E+08,    4.1996E+08,    0.0000E+00,           93660000.
Jupiter,    5.8432E+09,    7.8699E+11,    0.0000E+00,           93660000.
Sun,    7.3837E+08,    4.2069E+08,    0.0000E+00,           93720000.
Jupiter,    5.0659E+09,    7.8700E+11,    0.0000E+00,           93720000.
Sun,    7.3912E+08,    4.2143E+08,    0.0000E+00,           93780000.
Jupiter,    4.2886E+09,    7.8702E+11,    0.0000E+00,           93780000.
Sun,    7.3986E+08,    4.2217E+08,    0.0000E+00,           93840000.
Jupiter,    3.5112E+09,    7.8703E+11,    0.0000E+00,           93840000.
Sun,    7.4060E+08,    4.2291E+08,    0.0000E+00,           93900000.
Jupiter,    2.7339E+09,    7.8704E+11,    0.0000E+00,           93900000.
Sun,    7.4134E+08,    4.2365E+08,    0.0000E+00,           93960000.
Jupiter,    1.9566E+09,    7.8705E+11,    0.0000E+00,           93960000.
Sun,    7.4208E+08,    4.2439E+08,    0.0000E+00,           94020000.
Jupiter,    1.1792E+09,    7.8706E+11,    0.0000E+00,           94020000.
Sun,    7.4283E+08,    4.2513E+08,    0.0000E+00,           94080000.
Jupiter,    4.0186E+08,    7.8707E+11,    0.0000E+00,           94080000.
Sun,    7.4357E+08,    4.2588E+08,    0.0000E+00,           94140000.
Jupiter,   -3.7548E+08,    7.8708E+11,    0.0000E+00,           94140000.
Sun,    7.4431E+08,    4.2662E+08,    0.0000E+00,           94200000.
Jupiter,   -1.1528E+09,    7.8708E+11,    0.0000E+00,           94200000.
Sun,    7.4505E+08,    4.2736E+08,    0.0000E+00,           94260000.
Jupiter,   -1.9302E+09,    7.8709E+11,    0.0000E+00,           94260000.
Sun,    7.4579E+08,    4.2811E+08,    0.0000E+00,           94320000.
Jupiter,   -2.7075E+09,    7.8710E+11,    0.0000E+00,           94320000.
Sun,    7.4654E+08,    4.2885E+08,    0.0000E+00,           94380000.
Jupiter,   -3.4848E+09,    7.8710E+11,    0.0000E+00,           94380000.
Sun,    7.4728E+08,    4.2960E+08,    0.0000E+00,           94440000.
Jupiter,   -4.2622E+09,    7.8711E+11,    0.0000E+00,           94440000.
Sun,    7.4802E+08,    4.3035E+08,    0.0000E+00,           94500000.
Jupiter,   -5.0395E+09,    7.8711E+11,    0.0000E+00,           94500000.
Sun,    7.4876E+08,    4.3110E+08,    0.0000E+00,           94560000.
Jupiter,   -5.8168E+09,    7.8711E+11,    0.0000E+00,           94560000.
Sun,    7.4950E+08,    4.3184E+08,    0.0000E+00,           94620000.
Jupiter,   -6.5941E+09,    7.8711E+11,    0.0000E+00,           94620000.
Sun,    7.5025E+08,    4.3259E+08,    0.0000E+00,           94680000.
Jupiter,   -7.3715E+09,    7.8712E+11,    0.0000E+00,           94680000.
Sun,    7.5099E+08,    4.3334E+08,    0.0000E+00,           94740000.
Jupiter,   -8.1488E+09,    7.8712E+11,    0.0000E+00,           94740000.
Sun,    7.5173E+08,    4.3409E+08,    0.0000E+00,           94800000.
Jupiter,   -8.9260E+09,    7.8712E+11,    0.0000E+00,           94800000.
Sun,    7.5247E+08,    4.3484E+08,    0.0000E+00,           94860000.
Jupiter,   -9.7033E+09,    7.8711E+11,    0.0000E+00,           94860000.
Sun,    7.5321E+08,    4.3560E+08,    0.0000E+00,           94920000.
Jupiter,   -1.0481E+10,    7.8711E+11,    0.0000E+00,           94920000.
Sun,    7.5396E+08,    4.3635E+08,    0.0000E+00,           94980000.
Jupiter,   -1.1258E+10,    7.8711E+11,    0.0000E+00,           94980000.
Sun,    7.5470E+08,    4.3710E+08,    0.0000E+00,           95040000.
Jupiter,   -1.2035E+10,    7.8711E+11,    0.0000E+00,           95040000.
Sun,    7.5544E+08,    4.3786E+08,    0.0000E+00,           95100000.
Jupiter,   -1.2812E+10,    7.8710E+11,    0.0000E+00,           95100000.
Sun,    7.5618E+08,    4.3861E+08,    0.0000E+00,           95160000.
Jupiter,   -1.3590E+10,    7.8710E+11,    0.0000E+00,           95160000.
Sun,    7.5692E+08,    4.3937E+08,    0.0000E+00,           95220000.
Jupiter,   -1.4367E+10,    7.8709E+11,    0.0000E+00,           95220000.
Sun,    7.5766E+08,    4.4012E+08,    0.0000E+00,           95280000.
Jupiter,   -1.5144E+10,    7.8708E+11,    0.0000E+00,           95280000.
Sun,    7.5841E+08,    4.4088E+08,    0.0000E+00,           95340000.
Jupiter,   -1.5921E+10,    7.8708E+11,    0.0000E+00,           95340000.
Sun,    7.5915E+08,    4.4164E+08,    0.0000E+00,           95400000.
Jupiter,   -1.6698E+10,    7.8707E+11,    0.0000E+00,           95400000.
Sun,    7.5989E+08,    4.4240E+08,    0.0000E+00,           95460000.
Jupiter,   -1.7475E+10,    7.8706E+11,    0.0000E+00,           95460000.
Sun,    7.6063E+08,    4.4316E+08,    0.0000E+00,           95520000.
Jupiter,   -1.8253E+10,    7.8705E+11,    0.0000E+00,           95520000.
Sun,    7.6137E+08,    4.4392E+08,    0.0000E+00,           95580000.
Jupiter,   -1.9030E+10,    7.8704E+11,    0.0000E+00,           95580000.
Sun,    7.6212E+08,    4.4468E+08,    0.0000E+00,           95640000.
Jupiter,   -1.9807E+10,    7.8703E+11,    0.0000E+00,           95640000.
Sun,    7.6286E+08,    4.4544E+08,    0.0000E+00,           95700000.
Jupiter,   -2.0584E+10,    7.8702E+11,    0.0000E+00,           95700000.
Sun,    7.6360E+08,    4.4620E+08,    0.0000E+00,           95760000.
Jupiter,   -2.1361E+10,    7.8700E+11,    0.0000E+00,           95760000.
Sun,    7.6434E+08,    4.4697E+08,    0.0000E+00,           95820000.
Jupiter,   -2.2138E+10,    7.8699E+11,    0.0000E+00,           95820000.
Sun,    7.6508E+08,    4.4773E+08,    0.0000E+00,           95880000.
Jupiter,   -2.2915E+10,    7.8698E+11,    0.0000E+00,           95880000.
Sun,    7.6582E+08,    4.4849E+08,    0.0000E+00,           95940000.
Jupiter,   -2.3692E+10,    7.8696E+11,    0.0000E+00,           95940000.
Sun,    7.6657E+08,    4.4926E+08,    0.0000E+00,           96000000.
Jupiter,   -2.4469E+10,    7.8695E+11,    0.0000E+00,           96000000.
Sun,    7.6731E+08,    4.5003E+08,    0.0000E+00,           96060000.
Jupiter,   -2.5246E+10,    7.8693E+11,    0.0000E+00,           96060000.
Sun,    7.6805E+08,    4.5079E+08,    0.0000E+00,           96120000.
Jupiter,   -2.6023E+10,    7.8691E+11,    0.0000E+00,           96120000.
Sun,    7.6879E+08,    4.5156E+08,    0.0000E+00,           96180000.
Jupiter,   -2.6800E+10,    7.8689E+11,    0.0000E+00,           96180000.
Sun,    7.6953E+08,    4.5233E+08,    0.0000E+00,           96240000.
Jupiter,   -2.7577E+10,    7.8688E+11,    0.0000E+00,           96240000.
Sun,    7.7027E+08,    4.5310E+08,    0.0000E+00,           96300000.
