Object,X,Y,Z,Time
Sun,    5.3934E+05,    6.8605E+03,    0.0000E+00,            2280000.
Jupiter,    7.7803E+11,    2.9861E+10,    0.0000E+00,            2280000.
Sun,    5.6813E+05,    7.4180E+03,    0.0000E+00,            2340000.
Jupiter,    7.7800E+11,    3.0646E+10,    0.0000E+00,            2340000.
Sun,    5.9767E+05,    8.0049E+03,    0.0000E+00,            2400000.
Jupiter,    7.7797E+11,    3.1432E+10,    0.0000E+00,            2400000.
Sun,    6.2797E+05,    8.6219E+03,    0.0000E+00,            2460000.
Jupiter,    7.7794E+11,    3.2217E+10,    0.0000E+00,            2460000.
Sun,    6.5900E+05,    9.2699E+03,    0.0000E+00,            2520000.
Jupiter,    7.7791E+11,    3.3002E+10,    0.0000E+00,            2520000.
Sun,    6.9079E+05,    9.9495E+03,    0.0000E+00,            2580000.
Jupiter,    7.7788E+11,    3.3788E+10,    0.0000E+00,            2580000.
Sun,    7.2333E+05,    1.0662E+04,    0.0000E+00,            2640000.
Jupiter,    7.7784E+11,    3.4573E+10,    0.0000E+00,            2640000.
Sun,    7.5661E+05,    1.1407E+04,    0.0000E+00,            2700000.
Jupiter,    7.7781E+11,    3.5358E+10,    0.0000E+00,            2700000.
Sun,    7.9065E+05,    1.2186E+04,    0.0000E+00,            2760000.
Jupiter,    7.7777E+11,    3.6143E+10,    0.0000E+00,            2760000.
Sun,    8.2543E+05,    1.3000E+04,    0.0000E+00,            2820000.
Jupiter,    7.7774E+11,    3.6928E+10,    0.0000E+00,            2820000.
Sun,    8.6096E+05,    1.3849E+04,    0.0000E+00,            2880000.
Jupiter,    7.7770E+11,    3.7713E+10,    0.0000E+00,            2880000.
Sun,    8.9723E+05,    1.4735E+04,    0.0000E+00,            2940000.
Jupiter,    7.7766E+11,    3.8499E+10,    0.0000E+00,            2940000.
Sun,    9.3426E+05,    1.5657E+04,    0.0000E+00,            3000000.
Jupiter,    7.7762E+11,    3.9284E+10,    0.0000E+00,            3000000.
Sun,    9.7203E+05,    1.6618E+04,    0.0000E+00,            3060000.
Jupiter,    7.7758E+11,    4.0069E+10,    0.0000E+00,            3060000.
Sun,    1.0106E+06,    1.7616E+04,    0.0000E+00,            3120000.
Jupiter,    7.7754E+11,    4.0854E+10,    0.0000E+00,            3120000.
Sun,    1.0498E+06,    1.8654E+04,    0.0000E+00,            3180000.
Jupiter,    7.7750E+11,    4.1638E+10,    0.0000E+00,            3180000.
